ride_id,rideable_type,weekdays,duration,start_station_name,end_station_name,member_casual
7A8E4BC2E5286938,electric_bike,Tuesday,9.42511666615804,W Broadway & Spring St,E 13 St & Ave A,casual
0047F1D53FEAAF19,electric_bike,Sunday,4.306016667683919,Shore Blvd & Astoria Park,21 St & Hoyt Ave S,member
34C0DA1C3B37CB76,electric_bike,Monday,13.874783333142599,Bedford Ave & Clarkson Ave,Beverley Rd & Nostrand Ave,casual
4D6D4CCF37744246,classic_bike,Tuesday,2.766966664791107,Chauncey St & Stuyvesant Ave,Macon St & Lewis Ave,member
BA49F3CB7F5D501F,electric_bike,Sunday,39.74548333088557,Central Park S & 6 Ave,Mercer St & Spring St,casual
B2B8CC9346F826C1,electric_bike,Sunday,25.20595000187556,Pacific St & Smith St,Carroll St & Washington Ave,casual
5B0654762E2230BC,classic_bike,Friday,8.781566667556763,Suffolk St & Stanton St,W Broadway & Spring St,member
0B694237BD5E815D,electric_bike,Friday,11.45148333311081,Riverside Dr & W 145 St,Jerome Ave & Ogden Ave,member
007AFF03F0BC1153,classic_bike,Thursday,8.541866668065389,W 64 St & Thelonious Monk Circle,W 42 St & Dyer Ave,member
60AE32FFA1F6E7F5,classic_bike,Wednesday,2.6843000014623004,Queens Blvd & 56 St,51 St & Queens Blvd,member
FFCD41A305520D62,electric_bike,Wednesday,2.0528500000635783,Lenox Ave & W 117 St,Madison Ave & E 120 St,member
CDB40BCD3CA91443,electric_bike,Friday,9.315933334827424,W 16 St & The High Line,E 14 St & 1 Ave,member
E92373CB7765E2E8,electric_bike,Thursday,6.269166664282481,Washington St & Gansevoort St,W 35 St & 9 Ave,member
116705452A502C93,classic_bike,Monday,3.356083333492279,Cadman Plaza E & Tillary St,Clark St & Henry St,member
AE93AFD5D6B9F76C,classic_bike,Friday,26.47766666809718,W 95 St & Broadway,6 Ave & W 45 St,member
9668BFFD06A0B80E,electric_bike,Friday,3.791099997361501,Eastern Pkwy & Schenectady Ave,Clarkson Ave & Utica Ave,member
B6572BD411D804BB,electric_bike,Tuesday,6.730950001875559,10 St & 7 Ave,Berkeley Pl & 6 Ave,member
B1003614B1C3DE30,electric_bike,Tuesday,6.236499996980031,6 Ave & W 33 St,E 48 St & 5 Ave,casual
8063116116D98C6E,electric_bike,Monday,28.308083331584932,Carlton Ave & Dean St,Franklin St & Dupont St,member
6F70241D994B8883,electric_bike,Thursday,23.110133330027264,Kent St & McGuinness Blvd,Bayard St & Baxter St,member
871E357ACF8CC5AF,electric_bike,Saturday,4.2013166666030886,W 63 St & Broadway,7 Ave & W 55 St,member
9F53F85A2FE8ACB9,electric_bike,Thursday,4.114133334159851,2 Ave & E 96 St,E 89 St & York Ave,member
82EEEB3FAE728849,classic_bike,Thursday,6.931383331616719,Kent Ave & N 7 St,India St Pier,member
89A4C8E2793E001D,classic_bike,Friday,4.623866669336954,Fulton St & William St,Market St & Henry St,member
E73A6E7F2077700E,electric_bike,Tuesday,5.660099999109904,Lenox Ave & W 140 St,Park Ave & E 124 St,casual
6AAED3E863BC7DE7,classic_bike,Friday,4.758900002638499,Central Park W & W 103 St,Frederick Douglass Blvd & W 117 St,member
79F77ED8D282EC37,electric_bike,Tuesday,13.372633334000906,51 St & Queens Blvd,E 60 St & York Ave,member
7C6D755BE902DD31,classic_bike,Tuesday,15.551616668701172,Ave C & E 16 St,E 39 St & Lexington Ave,member
7547D5A3974ABA0D,classic_bike,Monday,5.9548666675885515,2 Ave & E 29 St,E 14 St & 1 Ave,member
719A5A68EA2099C8,electric_bike,Sunday,19.466766667366027,Broadway & Berry St,W 22 St & 10 Ave,member
